catalog,case_study,scenario,residual_rank,largest_fuel_family,largest_family_fuel_consumption,largest_family_share_of_table,benchmark_fuel_consumption,table_fuel_consumption,fuel_consumption_residual,absolute_fuel_consumption_residual,residual_percent_of_benchmark
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,gas_turbine,121.5795693254675,0.6770576531239698,175.03,179.57048231342594,4.54048231342594,4.54048231342594,2.594116616252037
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,2,boiler,114.73335209730625,0.4615660513759094,245.04,248.5740702880787,3.534070288078709,3.534070288078709,1.442242200489189
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,3,gas_turbine,109.61813936706328,0.8763282077244003,121.96,125.08799602801042,3.127996028010429,3.127996028010429,2.564772079378837
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,4,boiler,127.96073119141751,0.527157136703862,239.97,242.73735909469676,2.767359094696758,2.767359094696758,1.1532104407620778

