catalog,case_study,scenario,skip_index,candidate_label,candidate_source,component_name,accepted_only_count,candidate_only_count,total_delta_count,reason
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,candidate-2,uncalibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-stand-alone,gas_turbine_selected,1,0,1,"Static STYLE fixed-assignment subproblem did not produce an extractable solution: StaticStyleSolverStatus(status='error', termination_condition='infeasible', message=None)"
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,candidate-2,uncalibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-stand-alone,hot_oil_selected,17,0,17,"Static STYLE fixed-assignment subproblem did not produce an extractable solution: StaticStyleSolverStatus(status='error', termination_condition='infeasible', message=None)"
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,candidate-2,uncalibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-stand-alone,hrsg_selected,1,0,1,"Static STYLE fixed-assignment subproblem did not produce an extractable solution: StaticStyleSolverStatus(status='error', termination_condition='infeasible', message=None)"
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,candidate-2,uncalibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-stand-alone,hrsg_supplementary_firing_selected,1,0,1,"Static STYLE fixed-assignment subproblem did not produce an extractable solution: StaticStyleSolverStatus(status='error', termination_condition='infeasible', message=None)"
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,candidate-2,uncalibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-stand-alone,level_selected,1,1,2,"Static STYLE fixed-assignment subproblem did not produce an extractable solution: StaticStyleSolverStatus(status='error', termination_condition='infeasible', message=None)"
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,candidate-2,uncalibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-stand-alone,vhp_turbine_selected,1,0,1,"Static STYLE fixed-assignment subproblem did not produce an extractable solution: StaticStyleSolverStatus(status='error', termination_condition='infeasible', message=None)"
