catalog,case_study,scenario,candidate_index,candidate_source,selected_binary_count,unselected_binary_count,selected_variables
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-microgrid,45,141,gas_turbine_selected[reported-gt];hot_oil_furnace_selected;hot_oil_selected[LP_272p5];hot_oil_selected[MP_100];hot_oil_selected[MP_102p5];hot_oil_selected[MP_105];hot_oil_selected[MP_106p5];hot_oil_selected[MP_107p5];hot_oil_selected[MP_115];hot_oil_selected[MP_115p5];hot_oil_selected[MP_116p5];hot_oil_selected[MP_127p5];hot_oil_selected[MP_132p5];hot_oil_selected[MP_140p5];hot_oil_selected[MP_142p5];hot_oil_selected[MP_147p5];hot_oil_selected[MP_151p5];hot_oil_selected[MP_152p5];hot_oil_selected[MP_165];hot_oil_selected[MP_166p5];hot_oil_selected[MP_171p5];hot_oil_selected[MP_175p5];hot_oil_selected[MP_176p5];hot_oil_selected[MP_181p5];hot_oil_selected[MP_185];hot_oil_selected[MP_197p5];hot_oil_selected[MP_211p5];hot_oil_selected[MP_212p5];hot_oil_selected[MP_217p5];hot_oil_selected[MP_235];hot_oil_selected[MP_237p5];hot_oil_selected[MP_238p5];hot_oil_selected[MP_240];hot_oil_selected[MP_242];hot_oil_selected[MP_257p5];hot_oil_selected[MP_267p5];hot_oil_selected[MP_272p5];hot_oil_selected[MP_95];hot_oil_selected[MP_97p5];hot_oil_selected[MP_98p5];hrsg_selected[reported-hrsg];hrsg_supplementary_firing_selected[reported-hrsg];level_selected[MP_75];vhp_selected[VHP_100];vhp_turbine_selected[reported-vhp-st]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,2,uncalibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-stand-alone,24,162,hot_oil_furnace_selected;hot_oil_selected[LP_272p5];hot_oil_selected[MP_152p5];hot_oil_selected[MP_165];hot_oil_selected[MP_166p5];hot_oil_selected[MP_171p5];hot_oil_selected[MP_175p5];hot_oil_selected[MP_176p5];hot_oil_selected[MP_181p5];hot_oil_selected[MP_185];hot_oil_selected[MP_197p5];hot_oil_selected[MP_211p5];hot_oil_selected[MP_212p5];hot_oil_selected[MP_217p5];hot_oil_selected[MP_235];hot_oil_selected[MP_237p5];hot_oil_selected[MP_238p5];hot_oil_selected[MP_240];hot_oil_selected[MP_242];hot_oil_selected[MP_257p5];hot_oil_selected[MP_267p5];hot_oil_selected[MP_272p5];level_selected[MP_151p5];vhp_selected[VHP_100]
