catalog,case_study,scenario,candidate_index,candidate_source,hamming_distance_to_accepted,matches_accepted,selected_binary_count,unselected_binary_count
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-microgrid,0,True,45,141
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,2,uncalibrated:contribution-2-case-study-2-physical-profile:hot-oil-fsr-stand-alone,23,False,24,162
